[00:15:32.3449740][INFO/main.cpp:159] Yim's Menu Initializing
[00:15:32.5384965][INFO/batch.hpp:106] Found 'FPU&FPCA&FPOA&FPM' GTA5.exe+0x806092
[00:15:32.5396623][INFO/batch.hpp:106] Found 'GGOS' GTA5.exe+0x14640B4
[00:15:32.5418134][INFO/batch.hpp:106] Found 'SGSBGH' GTA5.exe+0x443D7C
[00:15:32.5430773][INFO/batch.hpp:106] Found 'GMI' GTA5.exe+0x1672C56
[00:15:32.5435437][INFO/batch.hpp:106] Found 'N' GTA5.exe+0x107B10D
[00:15:32.5485445][INFO/batch.hpp:106] Found 'SCM' GTA5.exe+0x10C3F49
[00:15:32.5485983][INFO/batch.hpp:106] Found 'JSBI' GTA5.exe+0x110C2EB
[00:15:32.5492012][INFO/batch.hpp:106] Found 'NC' GTA5.exe+0x441419
[00:15:32.5550612][INFO/batch.hpp:106] Found 'SGSBGH' GTA5.exe+0x14726CE
[00:15:32.5654103][INFO/batch.hpp:106] Found 'IPBGH' GTA5.exe+0x441434
[00:15:32.5760213][INFO/batch.hpp:106] Found 'VM' GTA5.exe+0x16204CA
[00:15:32.5776450][INFO/batch.hpp:106] Found 'HT' GTA5.exe+0x1464E65
[00:15:32.5785242][INFO/batch.hpp:106] Found 'SPBGH' GTA5.exe+0x4428BE
[00:15:32.5860161][INFO/batch.hpp:106] Found 'GU' GTA5.exe+0x1492662
[00:15:32.5883070][INFO/batch.hpp:106] Found 'WJRD' GTA5.exe+0x111264B
[00:15:32.5911966][INFO/batch.hpp:106] Found 'C' GTA5.exe+0xCECBEC
[00:15:32.5923642][INFO/batch.hpp:106] Found 'AFBGH' GTA5.exe+0x1071E28
[00:15:32.5931407][INFO/batch.hpp:106] Found 'PIGI' GTA5.exe+0x10BDE9F
[00:15:32.5959721][INFO/batch.hpp:106] Found 'PMFR' GTA5.exe+0x147D0D4
[00:15:32.5986200][INFO/batch.hpp:106] Found 'RENC' GTA5.exe+0x142983A
[00:15:32.6078617][INFO/batch.hpp:106] Found 'SND' GTA5.exe+0xF63023
[00:15:32.6087418][INFO/batch.hpp:106] Found 'SGS' GTA5.exe+0x1126A2C
[00:15:32.6119299][INFO/batch.hpp:106] Found 'HJR' GTA5.exe+0x11115B4
[00:15:32.6125347][INFO/batch.hpp:106] Found 'QP' GTA5.exe+0x14218A2
[00:15:32.6141836][INFO/batch.hpp:106] Found 'PGI' GTA5.exe+0x14820E8
[00:15:32.6152835][INFO/batch.hpp:106] Found 'GCP' GTA5.exe+0x1403FAC
[00:15:32.6154674][INFO/batch.hpp:106] Found 'RR' GTA5.exe+0xC1CAF3
[00:15:32.6181573][INFO/batch.hpp:106] Found 'STOPVT' GTA5.exe+0x6A10AC
[00:15:32.6183175][INFO/batch.hpp:106] Found 'SRGC' GTA5.exe+0x120C8EB
[00:15:32.6208347][INFO/batch.hpp:106] Found 'SSMA' GTA5.exe+0x1474F68
[00:15:32.6209965][INFO/batch.hpp:106] Found 'CD' GTA5.exe+0x1906D7
[00:15:32.6245152][INFO/batch.hpp:106] Found 'RC' GTA5.exe+0xF94320
[00:15:32.6257163][INFO/batch.hpp:106] Found 'IDC' GTA5.exe+0x67D4F4
[00:15:32.6259609][INFO/batch.hpp:106] Found 'SPT' GTA5.exe+0xB8AE24
[00:15:32.6306539][INFO/batch.hpp:106] Found 'HRGC' GTA5.exe+0x120550C
[00:15:32.6333098][INFO/batch.hpp:106] Found 'SPDM' GTA5.exe+0x11AFB24
[00:15:32.6359258][INFO/batch.hpp:106] Found 'SJRM' GTA5.exe+0x1299082
[00:15:32.6401022][INFO/batch.hpp:106] Found 'TAC' GTA5.exe+0xAF7CA4
[00:15:32.6418896][INFO/batch.hpp:106] Found 'LCF' GTA5.exe+0x5DD9B8
